Saturday,6,32,21,38,9,24,1,Normal
Saturday,6,103,36,16,2,12,1,Normal
Sunday,7,79,21,15,8,14,1,Normal
Sunday,7,65,13,40,5,15,1,Normal
Saturday,6,93,36,20,4,16,1,Normal
Wednesday,3,29,12,13,4,20,0,Normal
Friday,5,107,29,36,6,10,0,Normal
Wednesday,3,117,0,42,7,13,0,Normal
Thursday,4,48,6,18,10,27,0,Normal
Sunday,7,92,40,30,4,17,1,Normal
Thursday,4,118,47,10,1,19,0,Normal
Friday,5,54,39,29,3,4,0,Normal
Monday,1,52,2,41,8,15,0,Normal
Monday,1,68,47,23,7,25,0,Normal
Wednesday,3,66,47,6,10,26,0,Normal
Sunday,7,20,47,34,11,20,1,Normal
Tuesday,2,63,34,16,1,10,0,Normal
Saturday,6,124,40,6,12,24,1,Normal
Thursday,4,39,4,30,3,24,0,Normal
Tuesday,2,53,21,40,10,18,0,Normal
Sunday,7,17,38,41,4,3,1,Normal
Saturday,6,97,26,29,2,12,1,Normal
Saturday,6,35,13,38,12,31,1,Normal
Saturday,6,58,25,21,6,11,1,Normal
Friday,5,60,25,43,1,27,0,Normal
Monday,1,24,39,30,10,10,0,Normal
Monday,1,54,1,18,8,1,0,Normal
Thursday,4,20,28,39,2,24,0,Normal
Thursday,4,67,30,31,5,19,0,Normal
Friday,5,114,32,12,10,28,0,Normal
Friday,5,110,9,9,10,14,0,Normal
Wednesday,3,19,24,27,12,21,0,Normal
Wednesday,3,36,7,21,12,28,0,Normal
Wednesday,3,27,26,32,4,13,0,Normal
Saturday,6,47,36,11,9,24,1,Normal
Wednesday,3,74,19,37,8,24,0,Normal
Wednesday,3,15,44,40,9,14,0,Normal
Thursday,4,62,25,45,9,22,0,Normal
Tuesday,2,29,32,6,4,5,0,Normal
Friday,5,96,32,45,8,19,0,Normal
Monday,1,24,33,13,9,26,0,Normal
Thursday,4,106,42,25,11,24,0,Normal
Saturday,6,128,22,9,4,16,1,Normal
Saturday,6,31,34,8,6,18,1,Normal
Friday,5,59,6,26,8,12,0,Normal
Thursday,4,39,38,9,11,10,0,Normal
Sunday,7,109,26,29,1,8,1,Normal
Sunday,7,24,7,30,9,18,1,Normal
Saturday,6,81,12,22,11,5,1,Normal
Friday,5,37,30,21,8,26,0,Normal
Wednesday,3,119,21,18,9,21,0,Normal
Sunday,7,47,10,40,7,24,1,Normal
